,Please use link below to make entry,,,,Top 10%,25-50%,75-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://tinyurl.com/ke3hjef,,,,10-25%,50-75%,ITA Received,,,,,,,,,,,,,,,,,,,,,,,,,These Columns are for reconciliation only. If all cells are not 0 (Zero) then you have not put your score correctly.,,,,
Timestamp,Datestamp,Forum ID/ Unique ID,Name,Your standing from top,FSW14 Applicant,NOC,1 a) Self Age Points,1 b) Self Education Points,1 c) Self Official Languages Proficiency Points,1 d) Self Canadian Work Experience Points,1 a+b+c+d) Core/ Human Capital Factors,2 a) Spouse Education Points,2 b) Spouse Language Proficiency Points,2 c) Spouse Canadian Work Experience,2 a+b+c) Spouse Points,3) Skill Transferability Points,Total Points 1+2+3 (Out of 600),4 a) Job Offer,4 b) Provincial Nomination,4 a+b) Additional Points (600),1+2+3+4) Total Points (Out of 1200),Created Express Entry Profile?,EE Profile Creation Date,ITA Received?,ITA Received? (Automatically Calculated),Date on which ITA was received,Document Submission Date,Passport Request Date,Visa Received Date,Eligible Programs,,Deviation from Autosum U,Deviation from Autosum Q,Deviation from Sum Sub U,Deviation from Major U,Deviation from Sum Sub Q
12/22/2014 11:11:15,12/21/2014,mawly,,ITA Received,No,4012,85,140,128,70,423,10,20,10,40,100,563,Yes,Yes,600,1163,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/5/2014 8:15:24,12/4/2014,nessjo,nessjo,ITA Received,Yes,512,85,119,128,46,378,10,20,5,35,100,513,Yes,Yes,600,1113,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
3/8/2015 23:03:36,1/23/2015,Pxzhenren,Ez,ITA Received,No,2173,110,135,122,40,407,0,0,0,0,76,483,Yes,No,600,1083,No,,Yes,Yes,3/20/2015,,,,CEC,,0,0,0,0,0
12/5/2014 1:01:29,12/4/2014,ngelsa,Elsa,ITA Received,No,1241,105,120,133,53,411,0,0,0,0,50,461,Yes,Yes,600,1061,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/22/2014 5:56:46,12/21/2014,akaaash,Aakash,ITA Received,,2173,110,135,96,40,381,,,,0,75,456,No,Yes,600,1056,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
12/5/2014 11:49:11,41977,AM123456,Anuj,ITA Received,No,2174,110,120,108,40,378,0,0,0,0,76,454,Yes,No,600,1054,Yes,1/1/2015,,Yes,1/31/2015,,,,,,0,0,0,0,0
2/8/2015 22:21:36,42043,rakikira,Radha Krishna,ITA Received,No,2283,110,90,100,53,353,0,0,0,0,76,429,Yes,No,600,1029,Yes,2/8/2015,Yes,Yes,2/7/2015,,,,"FSW, CEC",,0,0,0,0,0
1/8/2015 11:21:40,42011,na,Martijn,ITA Received,No,4163,50,126,128,0,304,0,18,0,18,50,422,Yes,No,600,1022,Yes,1/7/2015,,Yes,1/31/2015,,,,,,50,50,50,0,50
1/18/2015 9:43:08,42021,open,,ITA Received,No,621,100,112,93,35,340,,,,0,76,416,Yes,No,600,1016,Yes,1/17/2015,,Yes,1/31/2015,,,,"FSW, CEC",,0,0,0,0,0
2/6/2015 3:31:12,42031,darky07,,ITA Received,No,5241,110,90,133,40,373,,,,0,38,411,Yes,No,600,1011,Yes,1/10/2015,Yes,Yes,1/31/2015,,,,"FSW, CEC",,0,0,0,0,0
3/22/2015 1:13:21,3/21/2015,isa.k.l.f,isabela,ITA Received,Yes,3012,100,112,150,0,362,8,1,0,9,39,410,No,Yes,600,1010,Yes,3/21/2015,No,Yes,3/27/2015,,,,,,0,0,0,0,0
